step,lr,train_mse,val_mse,test_mse
500,0.00029968313458419836,0.350282746553421,0.3549784526824951,0.36110898303985595
1000,0.00029774219482764765,0.24664332777261733,0.2511100968122482,0.2529307115077972
1500,0.00029405687567330265,0.21996846795082092,0.22259653007984162,0.2239754090309143
2000,0.00028867068936771313,0.21056635349988936,0.21233705949783324,0.2135452275276184
2500,0.00028164723014971585,0.20626398652791977,0.20957848930358886,0.21072321462631224
3000,0.00027306942339872203,0.20426799833774567,0.2075483000278473,0.20908394539356231
3500,0.00026303854654188884,0.20328296333551407,0.20626762580871583,0.20693272054195405
4000,0.0002516730332802405,0.20289523899555206,0.20521921563148499,0.20665551686286926
4500,0.00023910707525213792,0.2001792249083519,0.20428206706047058,0.205491717338562
5000,0.00022548903764413694,0.199224933385849,0.20409460127353668,0.20427579760551454
5500,0.00021097970745598065,0.19878620952367781,0.20284227633476257,0.20353434455394745
6000,0.0001957503951023108,0.19924408048391343,0.2026712067127228,0.20354462552070618
6500,0.0001799809117653243,0.19859803587198258,0.2015542949438095,0.2026704467535019
7000,0.00016385744637959713,0.19871888160705567,0.20119947266578675,0.202292884349823
7500,0.00014757036731533488,0.19592041313648223,0.2006653690338135,0.20183863687515258
8000,0.0001313119747153848,0.19510937213897706,0.19965542006492615,0.20038930010795594
8500,0.00011527423002397554,0.19441950768232347,0.19957765245437623,0.20026244366168977
9000,9.964648951444122e-05,0.19390052706003189,0.19882261097431184,0.19944936442375183
9500,8.461326857597525e-05,0.19402653336524964,0.19822276890277862,0.19934737372398376
10000,7.035206315628666e-05,0.1942613598704338,0.19790986108779907,0.19863845014572143
10500,5.70312540821991e-05,0.1937535771727562,0.1973814775943756,0.19863552832603454
11000,4.480811900169861e-05,0.19300635516643525,0.19699738979339598,0.1983265378475189
11500,3.3826975420259854e-05,0.19256626337766647,0.1970837366580963,0.1978563153743744
12000,2.421747675646125e-05,0.19269045025110246,0.19678557145595552,0.1976452339887619
12500,1.6093081535213893e-05,0.19197891563177108,0.19641122245788575,0.19738816070556642
13000,9.54971379270803e-06,0.19289153218269348,0.19631761801242828,0.19728398084640503
13500,4.6646305095613734e-06,0.19226647913455963,0.19620905089378357,0.19715286672115326
14000,1.4955094442881732e-06,0.1918102726340294,0.1961651315689087,0.19709859800338744
14500,7.976813696100592e-08,0.19117323011159898,0.19613263392448424,0.1970716896057129
14649,3.5455647751092553e-12,0.19119113326072693,0.1961323058605194,0.19707112514972686
