step,lr,train_mse,val_mse,test_mse
250,0.00029996500188581357,0.16850401163101197,0.16870288467407227,0.16714867973327638
500,0.00029869868391206583,0.16722869575023652,0.168608060836792,0.16711257298787435
750,0.0002956278713954945,0.16526822497447333,0.1670708522796631,0.16570639038085938
1000,0.00029078982938971274,0.16246345937252044,0.16217036406199137,0.1614522622426351
1250,0.0002842432687061932,0.1586702957749367,0.15856885019938152,0.15793102486928304
1500,0.00027606763344435135,0.1566548635562261,0.15617683569590252,0.15544512176513672
1750,0.00026636213691815864,0.15209540675083796,0.15369815047581992,0.15300215975443524
2000,0.0002552445576785488,0.150503600637118,0.15052978610992432,0.14990600713094077
2250,0.00024284981024217723,0.14685467928647994,0.14742663606007894,0.14699738725026448
2500,0.00022932830787108613,0.14449556519587833,0.14434781773885091,0.1439302241007487
2750,0.00021484413727134105,0.14034526844819387,0.1396139046351115,0.1392491191228231
3000,0.0001995730673611123,0.1354440579811732,0.13489187971750896,0.13473890781402587
3250,0.0001837004162722831,0.13011404052376746,0.1312581122716268,0.1309298357963562
3500,0.00016741880247003691,0.12600210532546044,0.1260463654200236,0.12553125127156575
3750,0.00015092580728113167,0.12247528657317161,0.12255545123418173,0.12228647232055664
4000,0.00013442157719664732,0.11904143889745077,0.11896276378631591,0.11873303445180257
4250,0.00011810639504584251,0.11607714618245761,0.11606643295288085,0.1159092682202657
4500,0.00010217824951551496,0.11455876007676125,0.11418912013371786,0.11373541641235352
4750,8.683043250933607e-05,0.11182283759117126,0.11187287934621175,0.1116096879641215
5000,7.224919350378584e-05,0.10950055668751399,0.11023292032877605,0.10987883949279785
5250,5.8611479365648133e-05,0.10781890725096067,0.10863533528645833,0.10818791770935059
5500,4.608278705892711e-05,0.10695491582155228,0.10721494563420614,0.10675373299916585
5750,3.481515529910708e-05,0.10621988202134768,0.10594844611485799,0.10555782206853231
6000,2.4945319526517525e-05,0.10482914050420125,0.10508071978886922,0.10463707288106283
6250,1.6593052588648726e-05,0.10550469532608986,0.1044724555015564,0.10403160413106283
6500,9.859711267639441e-06,0.10391152575612068,0.10394927708307902,0.10351777044932048
6750,4.827006291177826e-06,0.10365495855609576,0.10371448644002279,0.10324223057428995
7000,1.5560107530314003e-06,0.10357863306999207,0.10360153086980184,0.103132537206014
7250,8.641897626271433e-08,0.10375831027825673,0.10357687330245971,0.10310128275553386
7326,1.4577040674534913e-11,0.10323064054052035,0.1035761505762736,0.10309932152430216
