step,lr,train_mse,test_mse
1000,0.00021540701015615877,0.0010196474636904895,0.000998950310051441
2000,2.798378971682948e-05,0.0003525940427789465,0.0003307881075888872
2442,1.4726166999157184e-10,0.0003392925538355485,0.0003232534704729915
