step,lr,train_mse,val_mse,test_mse
500,0.00029968313458419836,0.7811263167858123,1.1768947677612305,1.1619673976898193
1000,0.00029774219482764765,0.5889005899429322,1.3205515003204347,1.3219747152328492
1500,0.00029405687567330265,0.4866261726617813,1.3829401988983154,1.3825466346740722
2000,0.00028867068936771313,0.40211993753910064,1.4552192707061768,1.4492791938781737
2500,0.00028164723014971585,0.36402847588062287,1.4960196933746337,1.48051509475708
3000,0.00027306942339872203,0.3404648470878601,1.5136272163391113,1.493409423828125
3500,0.00026303854654188884,0.320026068687439,1.5333544006347657,1.501648307800293
4000,0.0002516730332802405,0.3048980796337128,1.549079927444458,1.504002248764038
4500,0.00023910707525213792,0.29400033712387086,1.5660791130065919,1.5093047790527343
5000,0.00022548903764413694,0.2850541454553604,1.5730069923400878,1.516612434387207
