train_mse,test_mse,test_rmse,steps_run,depth,hidden_size,active_params,pad_params,total_params,padding_ratio,agop_dim,agop_offdiag_energy,agop_offdiag_ratio
0.0003704420515252731,0.00035964784026145936,0.018964383466420924,2442,2,320,926720,73280,1000000,0.07328,128,13258.126953125,0.45854569615623797
0.0002431262345073763,0.00023757541459053756,0.015413481585629432,2442,3,256,988672,11328,1000000,0.011328,128,2011206.125,0.7648242477297439
0.00021794449057570625,0.0002125284420326352,0.014578355258143327,2442,4,208,914368,85632,1000000,0.085632,128,19289749.0,0.8102377156661186
0.00021325986998728776,0.0002071072803810239,0.014391222337974767,2442,5,176,842336,157664,1000000,0.157664,128,15794766.0,0.7621095427468002
0.00020807549093536336,0.000200902683660388,0.014174014380562339,2442,6,160,851200,148800,1000000,0.1488,128,38905508.0,0.7758747097861641
0.00022669827588752791,0.00021737925615161657,0.014743787035616615,2442,7,144,815328,184672,1000000,0.184672,128,19336887.0,0.772503608660017
0.0002540090590411994,0.00023987192753702403,0.015487799312265899,2442,8,144,940608,59392,1000000,0.059392,128,18183660.5,0.7572321938630565
0.000274139249707629,0.0002587761851027608,0.016086521846028767,2442,9,128,843008,156992,1000000,0.156992,128,51751903.0,0.783437534515399
0.0003463533031267741,0.0003232534704729915,0.017979251109904202,2442,10,128,942080,57920,1000000,0.05792,128,35348845.0,0.7747319843833476
0.0005328824619820974,0.0004890735018998384,0.022115006260452166,2442,12,112,874048,125952,1000000,0.125952,128,3852816.625,0.7225615388048829
