step,lr,train_mse,val_mse,test_mse
250,0.00029996500188581357,0.16680918584267299,0.16861982440948486,0.16711690235137938
500,0.00029869868391206583,0.16944978932539623,0.16872882588704427,0.16707339604695637
750,0.0002956278713954945,0.1674794962008794,0.1688994026184082,0.16746537272135417
1000,0.00029078982938971274,0.16741066823403042,0.16878006553649902,0.16739080905914305
1250,0.0002842432687061932,0.16877706348896027,0.1688551410039266,0.16740729586283365
1500,0.00027606763344435135,0.16787286897500356,0.16868279202779135,0.1670881134668986
1750,0.00026636213691815864,0.16537561664978664,0.16664116350809732,0.16521458307902018
2000,0.0002552445576785488,0.16080271154642106,0.16086089928944905,0.16011716556549072
2250,0.00024284981024217723,0.15800176411867142,0.15845983219146728,0.15756552696228027
2500,0.00022932830787108613,0.1564187526702881,0.1561731383005778,0.15530273660024008
2750,0.00021484413727134105,0.15445186644792558,0.15394526354471844,0.15342822551727295
3000,0.0001995730673611123,0.152333069841067,0.15264601707458497,0.15192277272542318
3250,0.0001837004162722831,0.14992244044939676,0.15092712338765463,0.15015164724985758
3500,0.00016741880247003691,0.1486111392577489,0.14840789286295572,0.14767448933919272
3750,0.00015092580728113167,0.14478832284609477,0.14620183436075845,0.14535675573349
4000,0.00013442157719664732,0.14231134951114655,0.14237369187672932,0.1414992841084798
4250,0.00011810639504584251,0.1399262284239133,0.13919134664535524,0.13832703447341918
4500,0.00010217824951551496,0.1359610974788666,0.1362533706029256,0.1354284092585246
4750,8.683043250933607e-05,0.13373024662335714,0.13435076554616293,0.1335302980740865
5000,7.224919350378584e-05,0.13140319486459096,0.13250252437591553,0.13158515405654908
5250,5.8611479365648133e-05,0.12957637161016464,0.12940016174316407,0.12855410130818684
5500,4.608278705892711e-05,0.12683201879262923,0.12788184452056886,0.1270527931849162
5750,3.481515529910708e-05,0.12633555854360262,0.12643600702285768,0.12541388575236004
6000,2.4945319526517525e-05,0.12535661732157072,0.12522606261571248,0.12421684583028157
6250,1.6593052588648726e-05,0.12428144390384356,0.12464786990483602,0.12363377666473388
6500,9.859711267639441e-06,0.12332867830991745,0.12406062873204549,0.1231216786702474
6750,4.827006291177826e-06,0.12297995761036873,0.1237606814702352,0.1227682809829712
7000,1.5560107530314003e-06,0.1232606366276741,0.1235854819615682,0.12260448455810546
7250,8.641897626271433e-08,0.12191043744484584,0.12354763587315877,0.12256575743357341
7326,1.4577040674534913e-11,0.12354854717850686,0.12354689502716064,0.12256583992640177
