step,lr,train_loss,val_loss,test_loss
97,0.00029099999999999997,5.329879169464111,5.207143397521973,5.199215953063965
194,0.0005819999999999999,2.9261997509002686,2.9079369132995607,2.89484603767395
291,0.000873,2.398324236869812,2.401734652328491,2.394186869049072
388,0.0011639999999999999,2.1438234758377077,2.1509858207702637,2.143978847503662
485,0.0014550000000000001,1.9478503227233888,1.9646702816009523,1.9587138191223143
582,0.001746,1.82996910572052,1.8617284873962403,1.8531112171173096
679,0.0020369999999999997,1.7627567768096923,1.7898034622192383,1.7809493360519408
776,0.0023279999999999998,1.7650112223625183,1.7975046188354493,1.789478324508667
873,0.0026190000000000002,1.6522439742088317,1.6691657598495484,1.6650650144577026
970,0.0029100000000000003,1.6140188837051392,1.6333165098190308,1.6290869617462158
1067,0.0029999597342815648,1.5934860587120057,1.600591750907898,1.5935148258209229
1164,0.0029997544087544264,1.5069404697418214,1.5484365200042725,1.5427980350494386
1261,0.0029993751639669475,1.5243170523643494,1.547350448036194,1.5433841484069823
1358,0.002998822043898308,1.4693049812316894,1.4921753007888794,1.48729958152771
1455,0.002998095112691168,1.4378170919418336,1.467173864555359,1.461421029281616
1552,0.0029971944546442197,1.4372196531295776,1.4560598628997803,1.4525923963546752
1649,0.0029961201742024187,1.425024950504303,1.4519862028121948,1.4453777074813843
1746,0.0029948723959448685,1.4074802684783936,1.4338437915802003,1.4304777683258056
1843,0.0029934512645703737,1.3892346119880676,1.401114037322998,1.3956657331466675
1940,0.002991856944880663,1.3596204662322997,1.3933159469604492,1.3874610805511474
2037,0.002990089621761275,1.3597944784164429,1.3940454656600951,1.3889174617767335
2134,0.0029881495001601167,1.3378731203079224,1.3633304908752442,1.3602280220031737
2231,0.0029860368050637024,1.3541165828704833,1.376807297706604,1.375604260635376
2328,0.002983751781471056,1.368130066394806,1.395365735244751,1.39140083694458
2425,0.002981294694365306,1.3380890130996703,1.3608310802459718,1.358269270515442
2522,0.002978665828682951,1.3440500807762146,1.3579415325164794,1.3527917726516723
2619,0.002975865489280822,1.31914128780365,1.3446702209472656,1.3372256891250611
2716,0.0029728940009007263,1.2798860335350037,1.3105508766174316,1.303882629776001
2813,0.00296975170813179,1.2907208347320556,1.3176798650741577,1.3134085372924804
2910,0.0029664389753704975,1.326471242904663,1.3526953018188477,1.3464248321533203
3007,0.0029629561867784344,1.3057775497436523,1.3268582469940187,1.3199360515594483
3104,0.0029593037462377378,1.2624993085861207,1.2945785120010376,1.2916706684112549
3201,0.002955482077304261,1.2668847846984863,1.291086411857605,1.285121880722046
3298,0.002951491623158453,1.2619465470314026,1.2852691831588745,1.2782396125793456
3395,0.0029473328465539693,1.242894446849823,1.2764616771697999,1.2721482641220092
3492,0.002943006229764005,1.2581513381004334,1.283905751991272,1.2785456285476684
3589,0.0029385122745253698,1.2413383412361145,1.2766010669708252,1.2720429859161377
3686,0.002933851501980302,1.2519436979293823,1.2876039730072022,1.2797800691604615
3783,0.0029290244526160372,1.2342941379547119,1.2578306816101075,1.2514693422317504
3880,0.002924031686202129,1.2607997393608092,1.274529364013672,1.2692376649856567
3977,0.0029188737817255343,1.2203992867469788,1.2515180248260498,1.246348775100708
4074,0.002913551337323472,1.2305263733863832,1.2545240188598632,1.2493744262695312
4171,0.0029080649702140607,1.2032979869842528,1.240714519882202,1.236626985168457
4268,0.0029024153166247405,1.2306265473365783,1.2587854370117189,1.25462400932312
4365,0.0028966030317184965,1.2022191858291627,1.2379158683776856,1.2328989875793457
