step,lr,train_loss,train_acc,test_loss,test_acc
97,0.00029099999999999997,1.899443471431732,0.29671875,1.870133150291443,0.3117
194,0.0005819999999999999,1.7324432468414306,0.3803125,1.6938811630249024,0.391
291,0.000873,1.67915335893631,0.39703125,1.6357514736175538,0.4173
388,0.0011639999999999999,1.6717107486724854,0.3796875,1.6249768432617187,0.4051
485,0.0014550000000000001,1.5757490611076355,0.434375,1.5306908720016479,0.4556
582,0.001746,1.5156705927848817,0.45390625,1.4623320789337158,0.4677
679,0.0020369999999999997,1.4661069202423096,0.47421875,1.4291209213256837,0.4846
776,0.0023279999999999998,1.45239098072052,0.4875,1.4037156826019288,0.5075
873,0.0026190000000000002,1.4356328010559083,0.5025,1.3840921970367432,0.5175
970,0.0029100000000000003,1.3586032342910768,0.5103125,1.3279317504882813,0.5171
1067,0.0029995804094496126,1.306305181980133,0.53625,1.2972916091918945,0.5344
1164,0.0029974413565000656,1.2901485800743102,0.53171875,1.2545587907791138,0.5455
1261,0.0029934928544634418,1.2516122889518737,0.5559375,1.28296602973938,0.5423
1358,0.0029877396745539024,1.193594319820404,0.576875,1.186313836669922,0.5788
1455,0.0029801887686871868,1.2242236304283143,0.56625,1.1726068683624267,0.5811
1552,0.0029708492610801924,1.1592810511589051,0.58234375,1.153695505142212,0.5865
1649,0.0029597324372256286,1.1499019432067872,0.5909375,1.1276640674591065,0.604
1746,0.002946851730255076,1.1381128597259522,0.59328125,1.122315587234497,0.6005
1843,0.002932222704706917,1.0971176981925965,0.6071875,1.1077031242370605,0.6049
1940,0.0029158630377187625,1.0880565464496612,0.6140625,1.0756884424209594,0.6241
2037,0.002897792497667095,1.0639520585536957,0.61921875,1.069434231185913,0.6152
2134,0.002878032920279944,1.0500674700737,0.6296875,1.0457298341751098,0.6229
2231,0.00285660818225145,1.0265413188934327,0.634375,1.041210112953186,0.6298
2328,0.002833544172390213,0.9975605237483979,0.64734375,1.0147197778701782,0.6382
2425,0.002808868760336274,0.9700017428398132,0.65765625,0.9934293437004089,0.643
2522,0.0027826117628845398,0.9690696895122528,0.65453125,0.9947077268600464,0.6511
2619,0.002754804907955349,1.0418403339385987,0.62703125,1.0514459957122804,0.636
2716,0.002725481796255698,0.9580925679206849,0.661875,0.9756352731704712,0.6576
2813,0.0026946778606774776,0.9247430098056794,0.6703125,0.9596495620727539,0.6652
2910,0.0026624303234817582,0.9463411581516266,0.66734375,0.9664748586654663,0.6629
3007,0.00262877815132088,0.9200429296493531,0.6725,0.9453236156463624,0.6683
3104,0.002593762008152687,0.9162344610691071,0.67640625,0.9194564022064209,0.6767
3201,0.0025574242061038046,0.8891924166679382,0.67984375,0.9395377340316773,0.6705
3298,0.0025198086543413312,0.8980523681640625,0.685625,0.9446941193580627,0.6695
3395,0.002480960806014734,0.8741226851940155,0.68421875,0.9250640279769897,0.679
3492,0.0024409276033320573,0.859424694776535,0.68890625,0.9247989284515381,0.6739
