step,lr,train_loss,train_acc,test_loss,test_acc
97,0.00029099999999999997,1.9230275535583496,0.29265625,1.892466248321533,0.3065
194,0.0005819999999999999,1.6852541446685791,0.3871875,1.647195641708374,0.4185
291,0.000873,1.6924419713020324,0.37046875,1.634625838470459,0.401
388,0.0011639999999999999,1.590054738521576,0.4284375,1.5333479742050171,0.4492
485,0.0014550000000000001,1.5562590169906616,0.43640625,1.4958524492263794,0.4529
582,0.001746,1.4647784876823424,0.46703125,1.4247826272964477,0.4868
679,0.0020369999999999997,1.4590107798576355,0.46765625,1.4100654691696166,0.4951
776,0.0023279999999999998,1.4213384127616882,0.486875,1.3710676025390625,0.5097
873,0.0026190000000000002,1.4094937610626221,0.48703125,1.3717389291763307,0.499
970,0.0029100000000000003,1.3341960859298707,0.52171875,1.3172096942901612,0.5321
1067,0.0029995804094496126,1.2851632618904114,0.53328125,1.2521395433425904,0.5515
1164,0.0029974413565000656,1.2496734738349915,0.5521875,1.224640184402466,0.5645
1261,0.0029934928544634418,1.2608250904083251,0.5434375,1.2501337162017823,0.5504
1358,0.0029877396745539024,1.1736033535003663,0.575625,1.1566840518951416,0.5895
1455,0.0029801887686871868,1.1564546537399292,0.591875,1.1376054430007934,0.5996
1552,0.0029708492610801924,1.1168441987037658,0.60296875,1.1323964067459107,0.6057
1649,0.0029597324372256286,1.0956818866729736,0.61703125,1.1008495876312256,0.6091
1746,0.002946851730255076,1.0748083794116974,0.61875,1.1028892528533936,0.6111
1843,0.002932222704706917,1.0824936652183532,0.6134375,1.0938354100227357,0.6187
1940,0.0029158630377187625,1.0303467071056367,0.63125,1.0469409373283387,0.6285
2037,0.002897792497667095,1.0215885972976684,0.63828125,1.0314852241516113,0.6317
2134,0.002878032920279944,1.0099986946582795,0.64265625,1.0318904700279237,0.6325
2231,0.00285660818225145,0.981844562292099,0.64875,1.0285320450782776,0.6391
2328,0.002833544172390213,1.041868795156479,0.6275,1.0544008941650391,0.6295
2425,0.002808868760336274,0.9850483846664428,0.66,1.0079756920814513,0.6439
2522,0.0027826117628845398,0.9260440063476563,0.67140625,0.99000578956604,0.6515
2619,0.002754804907955349,0.9191471314430237,0.674375,0.9750229447364808,0.6601
2716,0.002725481796255698,0.9332122111320496,0.6746875,0.9789100521087647,0.6592
2813,0.0026946778606774776,0.9294638216495514,0.66453125,0.956684281539917,0.6625
2910,0.0026624303234817582,0.9144795441627502,0.6703125,0.943420750427246,0.6686
3007,0.00262877815132088,0.8501214039325714,0.70109375,0.932718363571167,0.6736
3104,0.002593762008152687,0.8932369983196259,0.68,0.9454046284675598,0.6697
3201,0.0025574242061038046,0.8724086511135102,0.6915625,0.9363968198776245,0.6775
3298,0.0025198086543413312,0.877482293844223,0.690625,0.9214825962066651,0.6777
3395,0.002480960806014734,0.8294491469860077,0.70984375,0.9160932969093323,0.6802
3492,0.0024409276033320573,0.8590109610557556,0.69859375,0.9128098481178284,0.6795
3589,0.0023997574208368066,0.8068800926208496,0.7134375,0.9117907887458802,0.6809
3686,0.002357500006954058,0.8329207968711853,0.7025,0.90469243850708,0.6817
3783,0.002314206423876426,0.7852526473999023,0.71765625,0.8753598611831666,0.6919
3880,0.0022699289858625175,0.8154315936565399,0.71125,0.8832578879356384,0.6918
3977,0.002224721196022453,0.7891023933887482,0.724375,0.8807189558029175,0.6932
4074,0.0021786376816668096,0.7700224316120148,0.7275,0.8630822160720825,0.6975
4171,0.0021317341282971396,0.7741194438934326,0.7275,0.8786651174545288,0.6961
4268,0.0020840672123178016,0.775243673324585,0.72578125,0.8619533132553101,0.697
4365,0.002035694532550431,0.7573425006866455,0.72453125,0.8651492980003357,0.6989
4462,0.001986674540633795,0.748705929517746,0.73609375,0.8574473344802857,0.7061
4559,0.0019370664703931356,0.7262481343746185,0.75125,0.8580187211990357,0.7069
4656,0.0018869302662643534,0.7276161408424378,0.74296875,0.8573483202934266,0.7069
4753,0.0018363265108595126,0.7328749203681946,0.74671875,0.8383639009475709,0.7146
4850,0.001785316351761203,0.7025189185142517,0.74984375,0.831919083404541,0.7134
4947,0.0017339614276342128,0.710162171125412,0.7475,0.8396948020935059,0.7134
5044,0.0016823237937437935,0.6851735413074493,0.755625,0.824565571975708,0.7167
5141,0.001630465846970529,0.7009337139129639,0.74828125,0.8703723809242249,0.7034
5238,0.0015784502504124032,0.6586666548252106,0.76984375,0.814797728061676,0.7196
5335,0.0015263398576651822,0.6624307203292846,0.76359375,0.8144863946914673,0.7266
5432,0.0014741976368726093,0.6521928185224533,0.76578125,0.8061656455993652,0.7243
5529,0.001422086594638184,0.641074441075325,0.77203125,0.816995476436615,0.7199
5626,0.0013700696998904633,0.628519082069397,0.77828125,0.8031083349227905,0.7262
5723,0.0013182098077938955,0.6330134838819503,0.77625,0.8029543815612793,0.727
5820,0.0012665695837971165,0.6200934165716171,0.7815625,0.7974038274765015,0.7294
5917,0.001215211427910491,0.5995441108942032,0.78609375,0.7957010162353516,0.7277
6014,0.0011641973993044038,0.6289288008213043,0.78765625,0.7954611762046814,0.7324
6111,0.0011135891413194018,0.6280065298080444,0.785,0.8070026762008667,0.7262
6208,0.001063447806978816,0.6115328705310822,0.78390625,0.7937288541793823,0.731
6305,0.0010138339850938565,0.5854873788356781,0.790625,0.7898268074035645,0.7296
6402,0.0009648076270504835,0.6008068627119064,0.78546875,0.7927071308135987,0.7297
6499,0.0009164279743665156,0.5717772257328033,0.7978125,0.7919268600463867,0.7339
6596,0.000868753487106517,0.579078124165535,0.79953125,0.7868209978103637,0.738
6693,0.0008218417732409604,0.5661138546466827,0.80125,0.7926490191459655,0.7326
6790,0.0007757495190350274,0.5535942494869233,0.8021875,0.782026717376709,0.74
6887,0.0007305324205511582,0.580977292060852,0.79203125,0.7848324708938599,0.7354
6984,0.00068624511634813,0.5557042413949966,0.8059375,0.7867343185424804,0.7353
7081,0.0006429411214579753,0.5518512153625488,0.8040625,0.7809471380233765,0.7367
7178,0.0006006727627205265,0.5227781140804291,0.81484375,0.7745505418777466,0.7384
7275,0.0005594911155537283,0.5374726217985153,0.814375,0.7779314343452454,0.7379
7372,0.0005194459422361142,0.5351908725500106,0.806875,0.7752470911026001,0.7395
7469,0.00048058563177603194,0.5326886934041977,0.8096875,0.7681447082519531,0.7419
7566,0.0004429571414402765,0.5267844796180725,0.81296875,0.7742891007423401,0.7415
7663,0.0004066059400127772,0.5163145875930786,0.8178125,0.7835755752563477,0.7417
7760,0.00037157595285191425,0.5106205713748931,0.82359375,0.7709453012466431,0.7418
7857,0.0003379095088128469,0.4886748218536377,0.8228125,0.7671250605583191,0.7428
7954,0.0003056472890989933,0.49504929065704345,0.8275,0.7639959022521973,0.7461
8051,0.00027482827810447073,0.5061661732196808,0.8228125,0.7702955602645875,0.744
8148,0.00024548971630688836,0.4963882839679718,0.8240625,0.7695502941131592,0.746
8245,0.0002176670552674247,0.48417941451072694,0.82921875,0.7674083213806152,0.7462
8342,0.00019139391479255796,0.5023760497570038,0.823125,0.7642432487487792,0.7464
8439,0.00016670204230921805,0.4886082738637924,0.82796875,0.7608692949295044,0.7484
8536,0.00014362127450244654,0.5016849809885024,0.82265625,0.7641384019851685,0.7458
8633,0.00012217950126192523,0.48229811191558836,0.8303125,0.7652247240066529,0.7486
8730,0.00010240263198093125,0.4829303902387619,0.82828125,0.7635284564971924,0.7478
8827,8.431456424844913e-05,0.48347433149814606,0.83109375,0.7639323949813843,0.7493
8924,6.793715497226604e-05,0.49059137523174284,0.82953125,0.767582437801361,0.7465
9021,5.329019396794593e-05,0.4725700265169144,0.83421875,0.7669565608024597,0.7475
9118,4.039138004559745e-05,0.4812733829021454,0.82859375,0.7645825682640076,0.7479
9215,2.925629962332993e-05,0.49262697517871856,0.82453125,0.7658946117401123,0.7477
9312,1.9898407893239545e-05,0.48317325353622437,0.8321875,0.7658753021240234,0.7494
9409,1.2329012562686092e-05,0.47696062564849856,0.83484375,0.7647341287612915,0.75
9506,6.5572601905058986e-06,0.4631555414199829,0.84109375,0.7648878076553345,0.7496
9603,2.5901251346696074e-06,0.48354086875915525,0.825,0.7647519027709961,0.7493
9700,4.324011247438531e-07,0.4723167955875397,0.83640625,0.7647177037239075,0.7493
9766,9.632922609581485e-11,0.4809507805109024,0.8290625,0.7647197158813477,0.7492
