step,lr,train_loss,val_loss,test_loss
97,0.00029099999999999997,4.84347975730896,4.746697428894043,4.746805368041993
194,0.0005819999999999999,2.7517755317687986,2.736908355712891,2.723556439208984
291,0.000873,2.265496864318848,2.281240835952759,2.268900650024414
388,0.0011639999999999999,2.0365893697738646,2.047811338043213,2.0373819763183594
485,0.0014550000000000001,1.891814751625061,1.912807596206665,1.9079999126434326
582,0.001746,1.7852997064590455,1.8036841041564942,1.7984440872192382
679,0.0020369999999999997,1.697443766593933,1.7098160289764404,1.7052361848831177
776,0.0023279999999999998,1.6844601392745973,1.7051378131866455,1.7008926223754883
873,0.0026190000000000002,1.6174742841720582,1.637915155029297,1.638301557159424
970,0.0029100000000000003,1.5944107222557067,1.6096021705627441,1.607033351135254
1067,0.0029999597342815648,1.56067626953125,1.5715243837356567,1.5686200700759887
1164,0.0029997544087544264,1.5002153754234313,1.5211498302459716,1.5155237537384034
1261,0.0029993751639669475,1.4727204179763793,1.5012269775390625,1.49745272026062
1358,0.002998822043898308,1.4487180042266845,1.471201399230957,1.4675142776489258
1455,0.002998095112691168,1.419370996952057,1.433846307373047,1.4319037557601928
1552,0.0029971944546442197,1.4098797464370727,1.4376504829406738,1.4345165042877197
1649,0.0029961201742024187,1.4053073120117188,1.4240902410507201,1.4207538497924805
1746,0.0029948723959448685,1.4209813022613524,1.442906809425354,1.437127512741089
1843,0.0029934512645703737,1.3882329630851746,1.4149705028533937,1.4108905605316162
1940,0.002991856944880663,1.3635315847396852,1.3953462015151978,1.394060369873047
2037,0.002990089621761275,1.3144587755203248,1.3440546487808227,1.3406253456115722
2134,0.0029881495001601167,1.3140892481803894,1.3453973400115966,1.3395252895355225
2231,0.0029860368050637024,1.3141057562828065,1.3328188762664794,1.3302478942871094
2328,0.002983751781471056,1.3248928427696227,1.3539270082473756,1.3491926292419434
2425,0.002981294694365306,1.2965261363983154,1.3124247230529784,1.3092045211791992
2522,0.002978665828682951,1.2835572814941407,1.321237705039978,1.3191342576980591
2619,0.002975865489280822,1.2805060052871704,1.2987966758728027,1.2952246301651
2716,0.0029728940009007263,1.2745757079124451,1.2978689874649048,1.294027198791504
2813,0.00296975170813179,1.2716640090942384,1.2964434631347657,1.2930773958206176
2910,0.0029664389753704975,1.2852810859680175,1.3155132164001464,1.3128262683868408
3007,0.0029629561867784344,1.25884348154068,1.290005284690857,1.286071559715271
3104,0.0029593037462377378,1.2647303605079652,1.2953099903106688,1.2925137361526489
3201,0.002955482077304261,1.251309723854065,1.2814915462493897,1.278722176361084
3298,0.002951491623158453,1.2244480895996093,1.2562492294311522,1.2539734878540039
3395,0.0029473328465539693,1.2495472931861877,1.2703915596008302,1.2656372501373292
3492,0.002943006229764005,1.2214758801460266,1.2408638092041016,1.239361079788208
3589,0.0029385122745253698,1.2062027668952942,1.2352613258361815,1.2296390794754029
3686,0.002933851501980302,1.2386816692352296,1.2652494438171387,1.262953913116455
3783,0.0029290244526160372,1.2167597556114196,1.250023146057129,1.2444394525527953
3880,0.002924031686202129,1.2066336607933044,1.2384660427093506,1.2363882707595826
3977,0.0029188737817255343,1.2063012838363647,1.236376689529419,1.232914182662964
4074,0.002913551337323472,1.2119595098495484,1.2401149351119996,1.239148225212097
4171,0.0029080649702140607,1.2040056252479554,1.2257535570144653,1.2207635452270509
4268,0.0029024153166247405,1.1927046489715576,1.2225353275299071,1.2195243701934815
4365,0.0028966030317184965,1.1752836155891417,1.2079615524291991,1.2038442321777343
4462,0.002890628789517878,1.1844695329666137,1.2179741771697998,1.2171785484313964
4559,0.0028844932828268398,1.1650838017463685,1.196206291770935,1.1934091323852538
4656,0.0028781972231503978,1.1800671339035034,1.2124320369720458,1.2087595607757569
4753,0.0028717413406121224,1.1740284371376037,1.203484756088257,1.1968350393295288
