step,lr,train_loss,train_acc,test_loss,test_acc
97,0.00029099999999999997,1.9001873421669007,0.31109375,1.8726432359695435,0.3334
194,0.0005819999999999999,1.8490858030319215,0.329375,1.8110914371490479,0.3443
291,0.000873,1.70008047580719,0.3809375,1.641369387435913,0.4116
388,0.0011639999999999999,1.6865160536766053,0.39984375,1.631387791824341,0.4172
485,0.0014550000000000001,1.5987023782730103,0.4309375,1.5644023693084717,0.4485
582,0.001746,1.5978792119026184,0.4178125,1.561826997756958,0.4319
679,0.0020369999999999997,1.5273416304588319,0.43375,1.4825527462005614,0.4566
776,0.0023279999999999998,1.4884924364089966,0.46265625,1.4581712169647216,0.467
873,0.0026190000000000002,1.4490149736404419,0.47515625,1.4358179172515868,0.4841
970,0.0029100000000000003,1.4248502302169799,0.4834375,1.35108228225708,0.5169
1067,0.0029995804094496126,1.3566049194335938,0.50859375,1.31416008644104,0.5253
1164,0.0029974413565000656,1.2979121708869934,0.53796875,1.263151531600952,0.5473
1261,0.0029934928544634418,1.2596116828918458,0.5484375,1.2206606277465821,0.5664
1358,0.0029877396745539024,1.2620303153991699,0.54765625,1.2273315589904785,0.5638
1455,0.0029801887686871868,1.2204205763339997,0.5665625,1.1943454467773438,0.5763
1552,0.0029708492610801924,1.225097553730011,0.5628125,1.2229989877700806,0.5634
1649,0.0029597324372256286,1.1991566443443298,0.568125,1.211225308418274,0.5732
1746,0.002946851730255076,1.1925425791740418,0.57328125,1.1944390625,0.5759
1843,0.002932222704706917,1.1525225698947907,0.58609375,1.1183130292892456,0.5971
1940,0.0029158630377187625,1.1213059449195861,0.6075,1.1374533603668213,0.5954
2037,0.002897792497667095,1.1071193218231201,0.60859375,1.1026307765960692,0.608
2134,0.002878032920279944,1.0934721302986146,0.6109375,1.1010128898620606,0.6079
2231,0.00285660818225145,1.0861939918994903,0.6240625,1.092362154006958,0.6165
2328,0.002833544172390213,1.0739283156394959,0.62203125,1.0791203415870667,0.6153
2425,0.002808868760336274,1.0240173959732055,0.6321875,1.0546388996124267,0.6255
2522,0.0027826117628845398,1.0312243032455444,0.6346875,1.0793506067276002,0.623
2619,0.002754804907955349,1.0049565374851226,0.64625,1.0364203977584838,0.6364
2716,0.002725481796255698,0.9922670924663544,0.64796875,1.030618180179596,0.6408
2813,0.0026946778606774776,0.9662663412094116,0.6565625,1.0205417798995973,0.6362
2910,0.0026624303234817582,0.9691319727897644,0.65265625,0.9946485080718994,0.6501
3007,0.00262877815132088,0.9696870410442352,0.65953125,0.9967116044998169,0.6496
3104,0.002593762008152687,0.9534218835830689,0.66265625,0.9850971755981446,0.652
3201,0.0025574242061038046,0.9428985333442688,0.6665625,0.9929157628059387,0.6512
