step,lr,train_mse,test_mse
50,0.00010245901639344262,0.02504497967660427,0.024153120756149293
100,0.00020491803278688525,0.00879210703074932,0.00803143322467804
150,0.00030737704918032784,0.0050817974796518684,0.005122155785560608
200,0.0004098360655737705,0.005305635039694607,0.00515555739402771
250,0.0005122950819672131,0.004198262142017484,0.004200802326202392
300,0.0006147540983606557,0.003741825963370502,0.0035956466794013976
350,0.0007172131147540984,0.003108898727223277,0.0028351209163665772
400,0.000819672131147541,0.002967594345100224,0.0029559650719165804
450,0.0009221311475409836,0.0029506827844306828,0.002963140159845352
500,0.000999984543714613,0.0024835024238564073,0.0025022223889827728
550,0.0009995247601443948,0.0024420941341668366,0.002281484663486481
600,0.0009984269587898415,0.0021077858633361756,0.0020404077023267746
650,0.00099669254181726,0.0013776800048071892,0.0012967886477708817
700,0.0009943237245099797,0.0014968612371012568,0.0014853333383798599
750,0.000991323532438884,0.0016225372161716223,0.0015851085633039475
800,0.0009876957975980011,0.0010173317918088288,0.0010028871297836303
850,0.0009834451535100915,0.001028424765681848,0.0010219868198037148
900,0.0009785770293084816,0.0009618711587972939,0.0009729802757501603
950,0.0009730976428027077,0.0008871579146943986,0.0009288265332579612
1000,0.0009670139925368193,0.0010260794160421938,0.0010090132504701613
1050,0.0009603338488504935,0.0008677688927855343,0.0008355131968855858
1100,0.0009530657439543711,0.0009044033335521818,0.0008499070554971695
1150,0.0009452189610322938,0.0007745187717955559,0.0007532781064510345
1200,0.0009368035223843632,0.000866090408526361,0.0008549646362662315
1250,0.0009278301766259607,0.0008715354895684868,0.0008356814458966255
1300,0.0009183103849590839,0.0006538941786857321,0.0006054288633167744
1350,0.0009082563065335312,0.0006554723030421883,0.0006140030995011329
1400,0.0008976807829166331,0.0006313615810358896,0.00061788409948349
1450,0.0008865973216913656,0.0008702124783303588,0.0008339598774909973
1500,0.000875020079203796,0.0006490645295707509,0.0005897310674190521
1550,0.0008629638424818955,0.0006690398667706177,0.0006155141405761241
1600,0.0008504440103488143,0.0005558647715952248,0.0005238688625395299
1650,0.000837476573754742,0.000667031203629449,0.0006172982938587666
1700,0.0008240780953524726,0.001176793146878481,0.0011238511800765992
1750,0.0008102656883427632,0.0009915446245577187,0.0009113816171884537
1800,0.000796056994616507,0.0005457080039195716,0.000469081524759531
1850,0.0007814701622216341,0.0006791369669372216,0.0006836751848459244
1900,0.000766523822183526,0.0006809737166622653,0.0006586302779614926
1950,0.0007512370647085469,0.0005681961117079481,0.0005212141983211041
2000,0.000735629414801085,0.0004775787185644731,0.0004498203955590725
2050,0.0007197208073252494,0.0005199109588284045,0.0005099502503871918
2100,0.0007035315615430735,0.00045860880345571786,0.00042585048452019694
2150,0.0006870823551617467,0.0004142336075892672,0.0003756345584988594
2200,0.0006703941979230209,0.00031322796770837157,0.00026548088155686853
2250,0.0006534884047685281,0.00035958747932454574,0.00032634161412715913
2300,0.0006363865686152794,0.00027065690257586537,0.00022988174669444562
2350,0.0006191105327761216,0.00035994589154142887,0.0003045625686645508
2400,0.0006016823630603753,0.0003397520913858898,0.0003358793258666992
2450,0.000584124319590289,0.0002925201778998598,0.00025959788262844085
2500,0.000566458828369308,0.00030592488590627906,0.00032016712985932826
2550,0.0005487084526384713,0.0002808432775782421,0.00022861997596919535
2600,0.0005308958640575214,0.0002008682137238793,0.00020000736601650715
2650,0.0005130438137475362,0.000301451766572427,0.00026195092499256133
2700,0.0004951751032320709,0.00027818281727377326,0.0002753753922879696
2750,0.00047731255531392025,0.00025560117472196,0.00021215198747813702
2800,0.0004594789849247047,0.00016529407032066956,0.00017570867016911506
2850,0.00044169716998450814,0.00024934008455602453,0.00022196765430271625
2900,0.00042398982230878936,0.00024096718610962852,0.00022043586149811744
2950,0.0004063795585997261,0.0002092968074430246,0.0002177176084369421
3000,0.00038888887155904146,0.00020093091719900258,0.00016714467760175467
3050,0.0003715401011592102,0.00019719790943781846,0.0002176885586231947
3100,0.00035435540610973914,0.00015754040286992678,0.00015115475840866564
3150,0.0003373567355549646,0.0001669209908868652,0.00015816893614828588
3200,0.00032056580103951714,0.00016902068586205132,0.0001655501639470458
3250,0.0003040040487772609,0.00015755546744912862,0.00014602623600512744
3300,0.0002876926322591259,0.00019876868449500762,0.0001713394159451127
3350,0.0002716523852348209,0.0001919588868622668,0.0001692799972370267
3400,0.00025590379510293627,0.00014738212863449007,0.00012985419016331434
3450,0.0002404669767434216,0.00014506976192933508,0.00012156704161316156
3500,0.00022536164682586545,0.00014288828038843348,0.00012304046563804149
3550,0.00021060709862638627,0.00012238638126291335,0.00011934587452560664
