step,lr,train_mse,test_mse
50,0.00010245901639344262,0.026174629963934423,0.024531655073165893
100,0.00020491803278688525,0.008964097108691931,0.008517424583435058
150,0.00030737704918032784,0.005369601440615952,0.005329904019832611
200,0.0004098360655737705,0.00430370326153934,0.00409945747256279
250,0.0005122950819672131,0.0050851397495716814,0.004815384328365326
300,0.0006147540983606557,0.004636289002373815,0.004467614054679871
350,0.0007172131147540984,0.0038364748656749726,0.003915564984083176
400,0.000819672131147541,0.003987792199477553,0.003886920005083084
450,0.0009221311475409836,0.0029601429076865316,0.0029140673875808717
500,0.000999984543714613,0.0028466397151350976,0.0026864182353019714
550,0.0009995247601443948,0.001913569860626012,0.001636898845434189
600,0.0009984269587898415,0.0016158668952994048,0.0015821255892515182
650,0.00099669254181726,0.0009784069750458002,0.0010306538492441178
700,0.0009943237245099797,0.001617052957881242,0.001551363930106163
750,0.000991323532438884,0.0012634750525467098,0.0011325636357069015
800,0.0009876957975980011,0.001822350115980953,0.0017072498053312302
850,0.0009834451535100915,0.0012654534040484578,0.0011264736503362655
900,0.0009785770293084816,0.001088513444410637,0.001028277076780796
950,0.0009730976428027077,0.0009395354974549263,0.0008266057372093201
1000,0.0009670139925368193,0.0008199298189720139,0.0007573618814349175
1050,0.0009603338488504935,0.000801527852891013,0.0008215903714299202
1100,0.0009530657439543711,0.0008704253612086177,0.0008179973363876343
1150,0.0009452189610322938,0.0011373825860209763,0.0011041056737303733
1200,0.0009368035223843632,0.0006376758398255333,0.0005849468521773815
1250,0.0009278301766259607,0.0006278913473943249,0.0005450480058789253
1300,0.0009183103849590839,0.0006916201091371477,0.000642012320458889
1350,0.0009082563065335312,0.0006163401406956837,0.0005531627275049686
1400,0.0008976807829166331,0.0007683805155102164,0.0007554111182689667
1450,0.0008865973216913656,0.0010336632700636984,0.0009615814536809922
1500,0.000875020079203796,0.0006752082565799355,0.0006374154239892959
1550,0.0008629638424818955,0.0006512846576515586,0.0006115428134799004
1600,0.0008504440103488143,0.0005494602356338874,0.0005613437704741955
1650,0.000837476573754742,0.0004737753566587344,0.00045436442270874975
1700,0.0008240780953524726,0.0005869482766138389,0.0005347943492233754
1750,0.0008102656883427632,0.0005999466177308932,0.0006449514292180538
1800,0.000796056994616507,0.00044293336919508874,0.00040901317819952963
1850,0.0007814701622216341,0.0006994226266397164,0.0006581322476267815
1900,0.000766523822183526,0.00048460660967975856,0.00047079050913453104
1950,0.0007512370647085469,0.0005511355039197951,0.0005372781455516815
2000,0.000735629414801085,0.0005641745484899729,0.000548310000449419
2050,0.0007197208073252494,0.0005196323955897242,0.0005227618180215359
2100,0.0007035315615430735,0.00033026219869498164,0.00032699550315737726
2150,0.0006870823551617467,0.0003510285000083968,0.0003194692302495241
2200,0.0006703941979230209,0.0007259138743393123,0.0006889178156852722
2250,0.0006534884047685281,0.0004961446899687871,0.0004623821675777435
2300,0.0006363865686152794,0.00039233905205037444,0.0003543814904987812
2350,0.0006191105327761216,0.0002991493354784325,0.0002880300376564264
2400,0.0006016823630603753,0.00028322957834461706,0.00029608083330094815
2450,0.000584124319590289,0.00033107636001659555,0.0003355725556612015
2500,0.000566458828369308,0.00024311007058713585,0.0002022787034511566
