train_loss,val_loss,test_loss,steps_run,depth,channels,patch,grid,active_params,pad_params,total_params,padding_ratio,agop_dim,agop_offdiag_energy,agop_offdiag_ratio
0.8131319893858372,0.8463090950012208,0.8450151773452759,29298,3,128,8,4,927872,72128,1000000,0.072128,128,0.3724762499342428,0.6295133182597641
0.8302818989524474,0.866347333908081,0.8618645812988281,29298,4,112,8,4,941376,58624,1000000,0.058624,128,0.2538860738287435,0.6453523699219919
0.8658023688655633,0.900284718132019,0.8947165756225586,29298,5,96,8,4,862592,137408,1000000,0.137408,128,0.2320100739608274,0.6668236657054296
0.8830999323190787,0.9157936973571777,0.9134328268051147,29298,6,88,8,4,867104,132896,1000000,0.132896,128,0.19222065061430793,0.6787831753550883
0.9062730939342425,0.9399530561447144,0.9348868007659912,29298,7,80,8,4,834688,165312,1000000,0.165312,128,0.1858408525596128,0.6894041080454365
0.9022701021570426,0.9389377899169922,0.9340072469711304,29298,8,80,8,4,950208,49792,1000000,0.049792,128,0.16481290757756098,0.6889541357198968
0.9325991444862806,0.9665570501327515,0.9614063823699951,29298,9,72,8,4,865856,134144,1000000,0.134144,128,0.14628802985052927,0.7011176705354781
0.9998010286153891,1.0326013027191163,1.0291221069335938,16975,10,72,8,4,959456,40544,1000000,0.040544,128,0.04823699593644007,0.7102048410066049
0.9937905025405761,1.0247415691375732,1.0226222427368163,22310,11,64,8,4,834688,165312,1000000,0.165312,128,0.09586863219838007,0.7197230173318117
0.9661697743412776,1.0004493637084961,0.9974279747009277,29298,12,64,8,4,908672,91328,1000000,0.091328,128,0.11643429473142489,0.7181037659743591
